CODIGO CIE;CODIGO INEP;ESCOLA;DIRETORIA;MUNICIPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO
902160;35902160;LORIS NASSIF MATTAR PROFA;ITAPECERICA DA SERRA;EMBU-GUACU;;3.70;1.77
902184;35902184;BAIRRO DA PALMEIRINHA;ITAPECERICA DA SERRA;JUQUITIBA;5.40;3.73;4.04
902196;35902196;JORGE NINO SOARES PROFESSOR;ITAPECERICA DA SERRA;JUQUITIBA;7.09;4.77;
902226;35902226;SHIRO KYONO DEPUTADO;LESTE 4;SAO PAULO;4.91;3.40;1.85
902238;35902238;MARIA JOSE BARONE FERNANDES PROFA;LESTE 4;SAO PAULO;5.08;;
902248;35902248;ANNA PONTES TOLEDO NATALI PROFESSORA;LESTE 1;SAO PAULO;5.64;;
902263;35902263;MARGARIDA MARIA ALVES;SUL 2;SAO PAULO;;3.16;2.35
902287;35902287;IRMA CHARLITA;SUL 3;SAO PAULO;4.86;3.31;2.57
902299;35902299;JOAO GOULART PRESIDENTE;SUL 3;SAO PAULO;6.81;;
902305;35902305;EUGENIO MARIZ DE OLIVEIRA NETTO;SUL 2;SAO PAULO;4.23;2.76;2.15
902330;35902330;ELCIO JOSE PEREIRA COTRIM PROF;CAIEIRAS;CAJAMAR;;;2.53
902366;35902366;BAIRRO DO ITAIM;CAIEIRAS;MAIRIPORA;;3.01;2.28
902378;35902378;JOSE ROBERTO MELCHIOR DR;CAIEIRAS;MAIRIPORA;;3.59;2.11
902385;35902385;MARIA ZEZA GOMES DE OLIVEIRA;CAIEIRAS;MAIRIPORA;;3.83;2.69
902408;35902408;DURVAL EVARISTO DOS SANTOS VEREADOR;ITAQUAQUECETUBA;ITAQUAQUECETUBA;;3.46;2.20
902494;35902494;JOSE ROBERTO PACHECO;TABOAO DA SERRA;TABOAO DA SERRA;;3.17;2.52
902500;35902500;FRANCISCO ALVES MOURAO PROFESSOR;SUL 1;SAO PAULO;5.03;3.88;2.38
902512;35902512;MIGUEL MUNHOZ FILHO;SUL 2;SAO PAULO;;3.62;2.12
902524;35902524;CESAR YASIGI PROFESSOR;SUL 2;SAO PAULO;5.06;;
902536;35902536;MOACYR DE CASTRO FERRAZ PROFESSOR;SUL 1;SAO PAULO;4.90;;
902548;35902548;RUTH COUTINHO SOBREIRO PROFESSORA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;6.94;3.90;3.04
902559;35902559;VENERANDA MARTINS SIQUEIRA DONA;CAMPINAS OESTE;CAMPINAS;;3.46;1.65
902573;35902573;PAULO ROBERTO FAGGIONI PROFESSOR;LESTE 1;SAO PAULO;;2.90;1.91
902585;35902585;ELYSEU SIMOES MACHADO PROFESSOR;LESTE 1;SAO PAULO;5.65;;
902597;35902597;NEYDY DE CAMPOS MELGES PROF;LESTE 2;SAO PAULO;5.46;3.83;
902603;35902603;DARIO MONTEIRO DE BRITO PROF;LESTE 2;SAO PAULO;5.22;;
902615;35902615;ANTONIETA DE SOUZA ALCANTARA;LESTE 3;SAO PAULO;5.07;2.53;1.19
902627;35902627;CESAR DONATO CALABREZ;LESTE 3;SAO PAULO;3.82;3.00;2.19
902639;35902639;JOAO CAMARGO PROF;LESTE 4;SAO PAULO;4.94;2.54;1.72
902640;35902640;JORGE ANDRADE;SUL 2;SAO PAULO;5.56;;
902652;35902652;BAIRRO JUNDIAIZINHO;CAIEIRAS;MAIRIPORA;;3.85;2.17
902664;35902664;ROSA PAVONE PIMONT DOUTORA;SUL 2;SAO PAULO;4.31;3.61;1.98
902676;35902676;PAULO DUARTE;CAIEIRAS;FRANCO DA ROCHA;;3.88;1.90
902718;35902718;JOAO CASTELLANO PROFESSOR;LESTE 3;SAO PAULO;4.96;;
902724;35902724;FERNANDO MAURO PIRES DA ROCHA DEPUTADO;LESTE 3;SAO PAULO;4.56;2.66;1.66
902743;35902743;EMILIA LEITE MARTINS;JACAREI;GUARAREMA;;3.41;2.62
902755;35902755;JOSE JORGE PROFESSOR;OSASCO;OSASCO;;4.06;2.78
902780;35902780;MARIA JANNUZZI MASCARI PROFESSORA;SUL 2;SAO PAULO;4.66;;
902792;35902792;JULIETA FARAO PROFA;LESTE 4;SAO PAULO;5.53;2.46;1.13
902809;35902809;ARTHUR CHAGAS JUNIOR PROF;LESTE 4;SAO PAULO;4.41;3.11;1.74
902810;35902810;JOZINEIDE PEREIRA GAUDINO;LESTE 4;SAO PAULO;4.84;2.35;1.90
902822;35902822;MARIA JOVITA;LESTE 1;SAO PAULO;4.78;;
902834;35902834;MARCELO TULMAN NETO;LESTE 2;SAO PAULO;;3.34;2.68
902846;35902846;SAID MURAD;LESTE 1;SAO PAULO;5.30;3.55;
902858;35902858;JOAO BATISTA VILANOVA ARTIGAS PROF;LESTE 2;SAO PAULO;;4.53;
902861;35902861;FRANCISCO PARENTE;LESTE 2;SAO PAULO;4.85;3.04;2.45
902871;35902871;PEDRO BRASIL BANDECCHI PROF;LESTE 2;SAO PAULO;4.60;2.83;
902883;35902883;LUIZ VAZ DE CAMOES;LESTE 3;SAO PAULO;5.67;;
902895;35902895;ITIRO MUTO;SUL 3;SAO PAULO;4.96;;
902901;35902901;TANCREDO DE ALMEIDA NEVES PRES;SUL 3;SAO PAULO;;3.02;2.52
902913;35902913;CHRISTIANO ALTENFELDER SILVA DOUTOR;SUL 3;SAO PAULO;;4.23;3.05
902925;35902925;CALHIM MANOEL ABUD;SUL 3;SAO PAULO;4.88;3.17;2.47
902937;35902937;ANDERSON DA SILVA SOARES;SUZANO;SUZANO;5.28;2.56;2.16
902949;35902949;ALICE ROMANOS PROFESSORA;SUZANO;SUZANO;4.73;3.31;
