CÓDIGO CIE;Código INEP;ESCOLA;DIRETORIA;MUNICÍPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MÉDIO
11496;35011496;NOSSA SENHORA DOS NAVEGANTES                                ;SANTOS;GUARUJA;2,00;1,99;1,83
11502;35011502;THEREZA SILVEIRA DE ALMEIDA PROFESSORA                      ;SANTOS;GUARUJA;;2,72;1,91
11514;35011514;DINIZ MARTINS PROFESSOR                                     ;SANTOS;GUARUJA;;1,99;1,73
11526;35011526;EMIDIO JOSE PINHEIRO PROFESSOR                              ;SANTOS;GUARUJA;4,89;;
11538;35011538;PAULO CLEMENTE SANTINI                                      ;SANTOS;GUARUJA;;2,34;
11548;35011548;RAQUEL DE CASTRO FERREIRA PROFESSORA                        ;SANTOS;GUARUJA;;;1,95
11551;35011551;PHILOMENA CARDOSO DE OLIVEIRA PROFESSORA                    ;SANTOS;GUARUJA;2,61;;
11563;35011563;GALDINO MOREIRA PROFESSOR                                   ;SANTOS;GUARUJA;4,23;;
11575;35011575;MARCILIO DIAS                                               ;SANTOS;GUARUJA;;1,79;1,89
11587;35011587;VICENTE DE CARVALHO                                         ;SANTOS;GUARUJA;;2,38;2,02
11605;35011605;ARMANDO BELLEGARD PROFESSOR                                 ;SANTOS;BERTIOGA;;2,72;1,96
11617;35011617;WILLIAM AURELI                                              ;SANTOS;BERTIOGA;;2,03;1,81
11629;35011629;JULIO CONCEICAO                                             ;SANTOS;CUBATAO;3,26;;
11630;35011630;LINCOLN FELICIANO                                           ;SANTOS;CUBATAO;5,14;;
11642;35011642;ZENON CLEANTES DE MOURA PROFESSOR                           ;SANTOS;CUBATAO;3,61;1,81;1,01
11666;35011666;EDUARDO GOMES MARECHAL DO AR                                ;SANTOS;GUARUJA;3,63;2,78;1,90
11678;35011678;HUGO SANTOS SILVA DOUTOR                                    ;SANTOS;GUARUJA;5,09;3,02;
11685;35011685;JOSE DA COSTA PROFESSOR                                     ;SANTOS;CUBATAO;;2,20;1,97
11691;35011691;MARIA HELENA DUARTE CAETANO PROFESSORA                      ;SANTOS;CUBATAO;2,30;2,00;1,48
11708;35011708;AZEVEDO JUNIOR                                              ;SANTOS;SANTOS;;2,73;2,14
11721;35011721;SAO LEOPOLDO VISCONDE DE                                    ;SANTOS;SANTOS;;1,83;1,63
11757;35011757;LUIZA MACUCO DONA                                           ;SANTOS;SANTOS;;3,58;2,55
11770;35011770;BENEVENUTO MADUREIRA PROFESSOR                              ;SANTOS;SANTOS;;2,46;1,73
11782;35011782;SUETONIO BITTENCOURT JUNIOR PROFESSOR                       ;SANTOS;SANTOS;;4,17;3,26
11794;35011794;NEVES PRADO MONTEIRO                                        ;SANTOS;SANTOS;;2,78;1,76
11812;35011812;FERNANDO DE AZEVEDO PROFESSOR                               ;SANTOS;SANTOS;;3,67;3,06
11824;35011824;PRIMO FERREIRA PROFESSOR                                    ;SANTOS;SANTOS;;;3,07
11836;35011836;CANADA                                                      ;SANTOS;SANTOS;;3,11;2,68
11848;35011848;BRAZ CUBAS                                                  ;SANTOS;SANTOS;;3,04;2,31
11861;35011861;PAULO FILGUEIRAS JUNIOR DOUTOR                              ;SANTOS;SANTOS;;2,38;
11873;35011873;LUIZ HIPOLITO PROFESSOR                                     ;AMERICANA;AMERICANA;5,51;;
11885;35011885;ALZIRA MARTINS LICHTI PROFESSORA                            ;SANTOS;SANTOS;;2,47;2,39
11897;35011897;ANTONIO ABLAS FILHO DOUTOR                                  ;SANTOS;SANTOS;;;1,81
11903;35011903;BARNABE                                                     ;SANTOS;SANTOS;;2,35;1,93
11915;35011915;BARTOLOMEU DE GUSMAO PADRE                                  ;SANTOS;SANTOS;;;1,79
11927;35011927;MARQUES DE SAO VICENTE                                      ;SANTOS;SANTOS;;3,44;3,04
11940;35011940;FRANCISCO MEIRA PROFESSOR                                   ;SANTOS;SANTOS;;2,14;2,12
11952;35011952;SILVIA JORGE POLLASTRINI PROFESSORA                         ;SAO VICENTE;ITANHAEM;;3,05;1,26
12002;35012002;BENEDITO CALIXTO                                            ;SAO VICENTE;ITANHAEM;;2,77;1,80
12014;35012014;FRANCISCO MARTINS DOS SANTOS                                ;SAO VICENTE;PRAIA GRANDE;;2,71;1,83
12026;35012026;DAGOBERTO NOGUEIRA DA FONSECA                               ;SAO VICENTE;ITANHAEM;;2,53;1,95
12038;35012038;JON TEODORESCO PROFESSOR                                    ;SAO VICENTE;ITANHAEM;;3,00;2,14
12051;35012051;ABRAHAO JACOB LAFER DOUTOR                                  ;SAO VICENTE;PRAIA GRANDE;;3,62;2,54
12063;35012063;ALFREDO REIS VIEGAS DOUTOR                                  ;SAO VICENTE;PRAIA GRANDE;;;1,64
12075;35012075;ANTONIO MOREIRA COELHO DEPUTADO                             ;SAO VICENTE;SAO VICENTE;;2,00;1,50
12087;35012087;ENIO VILAS BOAS PROFESSOR                                   ;SAO VICENTE;SAO VICENTE;;1,25;1,36
12129;35012129;MARIA THEREZA DA CUNHA PEDROSO PROFESSORA                   ;SAO VICENTE;SAO VICENTE;;1,83;1,31
12130;35012130;JOSE NIGRO PROFESSOR                                        ;SAO VICENTE;SAO VICENTE;;1,77;1,73
12142;35012142;ZULMIRA DE ALMEIDA LAMBERT PROFESSORA                       ;SAO VICENTE;SAO VICENTE;;2,74;1,72
12178;35012178;JARDIM BOPEVA                                               ;SAO VICENTE;PRAIA GRANDE;;2,14;2,03
12191;35012191;AUGUSTO PAES D AVILA REVERENDO                              ;SAO VICENTE;PRAIA GRANDE;;;3,02
12212;35012212;MARTIM AFONSO                                               ;SAO VICENTE;SAO VICENTE;;;2,19
12221;35012221;LAUDELINO FERNANDES DOS SANTOS PROFESSOR                    ;SAO VICENTE;PRAIA GRANDE;;2,60;1,45
12233;35012233;MARIA PACHECO NOBRE PROFESSORA                              ;SAO VICENTE;PRAIA GRANDE;;3,73;2,95
12245;35012245;YOLANDA CONTE PROFESSORA                                    ;SAO VICENTE;SAO VICENTE;;2,05;1,94
12269;35012269;ARACY DA SILVA FREITAS PROFESSORA                           ;SAO VICENTE;MONGAGUA;;;1,69
12294;35012294;FRANCISCO PEREIRA DA ROCHA DOUTOR                           ;SAO VICENTE;PERUIBE;;2,66;1,90
12300;35012300;MARGARIDA PINHO RODRIGUES                                   ;SAO VICENTE;SAO VICENTE;;2,27;1,83
12324;35012324;ARMANDO VICTORIO BEI                                        ;SAO VICENTE;SAO VICENTE;;2,29;1,56
12348;35012348;LEOPOLDO JOSE DE SANT ANNA PROFESSOR                        ;SAO VICENTE;SAO VICENTE;;2,53;1,27
12359;35012359;REYNALDO KUNTZ BUSCH DR                                     ;SAO VICENTE;PRAIA GRANDE;;2,15;2,25
12361;35012361;HERMOGENES MAJOR                                            ;GUARATINGUETA;CRUZEIRO;;2,02;2,14
12373;35012373;HUMBERTO TURNER                                             ;GUARATINGUETA;CRUZEIRO;;1,61;1,86
12385;35012385;VIRGILIO ANTUNES PROF                                       ;GUARATINGUETA;CRUZEIRO;;1,21;2,08
12397;35012397;MARIO DA SILVA PINTO DR                                     ;GUARATINGUETA;CRUZEIRO;;3,02;2,45
12403;35012403;HORTA CORONEL                                               ;GUARATINGUETA;LAVRINHAS;;2,02;1,80
12427;35012427;JOSE DE PAULA FRANCA PROF                                   ;GUARATINGUETA;QUELUZ;;2,64;2,22
12440;35012440;MIGUEL PEREIRA                                              ;GUARATINGUETA;SAO JOSE DO BARREIRO;;;2,51
12464;35012464;SAO LAURINDO VISCONDE                                       ;GUARATINGUETA;BANANAL;;;2,15
12488;35012488;VICENTE DE PAULA ALMEIDA                                    ;GUARATINGUETA;ARAPEI;;;2,15
12506;35012506;OSWALDO CRUZ                                                ;GUARATINGUETA;CRUZEIRO;;2,27;1,81
12531;35012531;JOSE RODRIGUES ALVES SOBRINHO DR                            ;GUARATINGUETA;CRUZEIRO;;1,90;1,42
12543;35012543;BARAO DA BOCAINA                                            ;GUARATINGUETA;AREIAS;;;1,62
12555;35012555;HILDEBRANDO MARTINS SODERO PROF                             ;GUARATINGUETA;SILVEIRAS;;2,79;2,69
12580;35012580;EDGARD DE SOUZA DR                                          ;GUARATINGUETA;APARECIDA;;;2,21
12609;35012609;AMERICO ALVES                                               ;GUARATINGUETA;APARECIDA;;2,05;2,70
12634;35012634;CLOTILDE AYELLO ROCHA PROFA                                 ;GUARATINGUETA;GUARATINGUETA;;1,97;1,23
12646;35012646;MARIA DA CONCEICAO QUERIDO PROFA                            ;GUARATINGUETA;CUNHA;4,09;;
12661;35012661;RODRIGUES ALVES CONSELHEIRO                                 ;GUARATINGUETA;GUARATINGUETA;;2,09;2,06
