NOMEDEP;DE;MUN;DISTR;COD_ESC;NOMESC;SITUACAO;TIPOESC;ENDESC;NUMESC;COMPLEND;CEP;BAIESC;ZONA;DS_LONGITUDE;DS_LATITUDE;CODVINC
ESTADUAL - SE;LESTE 1;SAO PAULO;VILA JACUI;910855;JOSE BORGES DOS SANTOS JUNIOR REV;Ativa;EE;DANIEL ARCIONI;80;RUA;8051080;LIMOEIRO;URBANA;-46,47076035;-23,51839066;
ESTADUAL - SE;SANTO ANDRE;SANTO ANDRE;SANTO ANDRE;910867;ANTONIO FRANCISCO PAVANELLO PROFESSOR;Ativa;EE;NINA ZANOTTO DONA;160;RUA;9182410;JARDIM LAS VEGAS;URBANA;-46,53136826;-23,69805908;
ESTADUAL - SE;MAUA;MAUA;MAUA;910879;LEA APARECIDA DE OLIVEIRA VEREADORA;Ativa;EE;HONDURAS;325;RUA;9351070;PARQUE DAS AMERICAS;URBANA;-46,44599915;-23,69409943;
ESTADUAL - SE;MAUA;MAUA;MAUA;910880;MARIA THEREZINHA JORGE AMORIM;Ativa;EE;MARIO DE ANDRADE;186;RUA;9320440;JARDIM MIRANDA DAVIZ;URBANA;-46,43399811;-23,65660095;
ESTADUAL - SE;NORTE 1;SAO PAULO;BRASILANDIA;910995;OLINDA LEITE SINISGALLI PROFESSORA;Ativa;EE;EMILIO KEMP;126;RUA;2865000;VILA PENTEADO;URBANA;-46,67750931;-23,47373009;
ESTADUAL - SE;LESTE 1;SAO PAULO;ITAQUERA;911008;URBANO DE OLIVEIRA PINTO REV;Ativa;EE;TANTAS PALAVRAS;10;RUA;8223510;CONJUNTO HABITACIONAL AGUIA DE HAIA;URBANA;-46,4693922;-23,5224683;
ESTADUAL - SE;CENTRO SUL;SAO PAULO;SACOMA;911033;HENRIQUE DE SOUZA FILHO HENFIL;Ativa;EE;GASTAO FORMENTI;70;RUA;4187170;VILA SANTA TERESA ZONA SUL;URBANA;-46,59381866;-23,64752007;
ESTADUAL - SE;JAU;PEDERNEIRAS;PEDERNEIRAS;911069;DINAH DE MORAES E SEIXAS PROFESSORA;Ativa;EE;AVENIDA LEA FELDMAN;O 645;RUA;17280000;CIDADE NOVA;URBANA;-48,80020142;-22,3239994;
ESTADUAL - SE;JUNDIAI;VARZEA PAULISTA;VARZEA PAULISTA;911112;LAVINIA RIBEIRO ARANHA PROFESSORA;Ativa;EE;BROMELIAS;SN;RUA;13225310;JARDIM BERTIOGA;URBANA;-46,84230042;-23,23469925;
ESTADUAL - SE;MOGI MIRIM;ITAPIRA;ITAPIRA;911124;BENEDITO FLORES DE AZEVEDO;Ativa;EE;EMILIO HADAMI KAMIMURA;64;RUA;13976135;LOTEAMENTO JOAO DE BARROS;URBANA;-46,82770157;-22,42589951;
ESTADUAL - SE;LIMEIRA;RIO CLARO;RIO CLARO;911148;OSCAR DE ALMEIDA PROFESSOR;Ativa;EE;AVENIDA HUM;SN;RUA;13509000;D ASSISTENCIA;URBANA;-47,58597946;-22,50160027;
ESTADUAL - SE;ADAMANTINA;DRACENA;DRACENA;911173;ALFREDO MACHADO;Ativa;EE;RUA OTO LARA RESENDE;21;RUA;17900000;BAIRRO JARDIM BRASILANDIA;URBANA;-51,55381393;-21,49071503;
ESTADUAL - SE;SANTO ANASTACIO;PRESIDENTE EPITACIO;PRESIDENTE EPITACIO;911203;ADELINO CHUBA GUIMARO PROFESSOR;Ativa;EE;RUA ARACAJU;35;40;19470000;JARDIM REAL;URBANA;-52,12609863;-21,78875923;
ESTADUAL - SE;SANTO ANASTACIO;PRESIDENTE EPITACIO;PRESIDENTE EPITACIO;911215;JOAQUIM RODRIGUES FILHO PROFESSOR;Ativa;EE;RUA ANTONIO VENANCIO LOPES;20-53;RUA;19470000;VILA ESPERANCA;URBANA;-52,12097168;-21,76354027;
ESTADUAL - SE;FRANCA;FRANCA;FRANCA;911252;ADELINA PASQUINO CASSIS PROFA;Ativa;EE;FRANCISCO PROCOPIO DE OLIVEIRA;2860;RUA;14402082;JARDIM EDEN;URBANA;-47,37120056;-20,51350021;
ESTADUAL - SE;FRANCA;FRANCA;FRANCA;911264;ISRAEL NICEUS MOREIRA PROF;Ativa;EE;LUIZ TARDIVO;511;RUA;14406541;JARDIM SANTA EFIGENIA;URBANA;-47,44002151;-20,52895927;
ESTADUAL - SE;FRANCA;FRANCA;FRANCA;911276;MICHEL HABER PROF;Ativa;EE;JOAO DOS SANTOS FERREIRA;561;RUA;14402406;JARDIM PAULISTANO;URBANA;-47,3606;-20,5203;
ESTADUAL - SE;FRANCA;FRANCA;FRANCA;911288;JOSE RICARDO PUCCI PROF;Ativa;EE;IVETE VARGAS;1445;AVENIDA;14407400;JARDIM PINHEIROS I;URBANA;-47,41899872;-20,49489975;
ESTADUAL - SE;RIBEIRAO PRETO;RIBEIRAO PRETO;RIBEIRAO PRETO;911306;ROSANGELA BASILE PROFESSORA;Ativa;EE;RUA SAMUEL MARTINELLI;450;RUA;14031500;PARQUE RIBEIRAO PRETO;URBANA;-47,85456848;-21,20148087;
ESTADUAL - SE;SAO VICENTE;PERUIBE;PERUIBE;911331;JARDIM SAO JOAO;Ativa;EE;AVENIDA EDUARDO ALVARES MACHADO;1109;;11750000;BALNEARIO SAMBURA;URBANA;-46,98923874;-24,30452919;
